mac,termtype,servicecode,svcname,addr,stime,rssi,vtype,vname,ssid,apname,apmac,channel,sec,xpos,ypos,nlong,lati,flags,assid,sid,day,svcode
44-04-44-D5-1A-CA," ",35020321030004,,,1562139968,-59,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700712072,20190703,0
08-4A-CF-DE-A0-E3," ",35020321030004,,,1562139984,-95,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700713073,20190703,0
DA-A1-19-32-FF-9E," ",35021221360001,,,1562139988,-95,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700714074,20190703,0
DA-A1-19-32-FF-9E," ",35021221360001,,,1562139988,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700715075,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139960,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700716076,20190703,0
48-8A-D2-3A-25-74," ",35020321030004,,,1562139926,-73,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700717077,20190703,0
3C-F5-91-19-70-5F," ",35021221360001,,,1562140003,-94,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700718078,20190703,0
10-9E-3A-8D-47-BE," ",35021221360001,,,1562139983,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700718979,20190703,0
60-F8-1D-2C-AD-F7," ",35020321030004,,,1562139966,-85,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700719980,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139990,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700720981,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139968,-60,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700721982,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139944,-67,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700722983,20190703,0
DA-A1-19-32-FF-9E," ",35021221360001,,,1562139988,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700723984,20190703,0
B0-5A-DA-74-E2-AA," ",35021221360001,,,1562140018,-97,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700724985,20190703,0
9C-A5-C0-C1-B1-B9," ",35020321030004,,,1562139970,-89,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700725986,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139996,-83,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700726987,20190703,0
D4-1A-3F-BB-A8-F9," ",35021221360001,,,1562139980,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700727988,20190703,0
C8-EE-A6-34-D0-41," ",35021221360001,,,1562139978,-90,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700728989,20190703,0
C8-F7-33-1F-06-6C," ",35021221360001,,,1562139981,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700730590,20190703,0
34-EA-34-45-C3-84," ",35021221360001,,,1562139947,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700731591,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139960,-93,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700732592,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139970,-99,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700733593,20190703,0
08-4A-CF-DE-A0-E3," ",35020321030004,,,1562139931,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700734594,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139978,-92,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700735495,20190703,0
1C-C3-EB-E6-E0-53," ",35021221360001,,,1562139953,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700736496,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139947,-85,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700737697,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139949,-65,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700738698,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562140018,-74,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700739699,20190703,0
DA-A1-19-99-38-D7," ",35020321030004,,,1562139971,-85,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700740600,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139941,-75,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700741601,20190703,0
DA-A1-19-0B-DF-93," ",35021221360001,,,1562139962,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700742602,20190703,0
78-36-CC-7C-B2-45," ",35020321030004,,,1562139977,-96,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700743503,20190703,0
DA-A1-19-80-56-0A," ",35020321030004,,,1562139960,-81,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700744504,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139998,-91,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700745505,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139978,-89,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700746506,20190703,0
F0-43-47-27-9A-34," ",35020321030004,,,1562139925,-79,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700747507,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139983,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700748508,20190703,0
22-F4-1B-5D-C6-6B," ",35021221360001,,,1562140009,-86,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700749509,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139933,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700750510,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139971,-59,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700751511,20190703,0
DA-A1-19-72-7F-33," ",35020321030004,,,1562139960,-72,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700752512,20190703,0
DA-A1-19-F2-38-69," ",35020321030004,,,1562140052,-91,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800640053,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562140024,-73,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800641454,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562140057,-73,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800642555,20190703,0
04-54-53-EE-3A-EF," ",35020321030004,,,1562140001,-81,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800643656,20190703,0
DA-A1-19-1A-82-36," ",35020321030004,,,1562140041,-71,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800644657,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562140024,-74,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800645658,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562140009,-81,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800646659,20190703,0
B4-BF-F6-9A-07-5D," ",35020321030004,,,1562139986,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800647660,20190703,0
E4-46-DA-FB-B7-5B," ",35020321030004,,,1562140096,-66,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800648661,20190703,0
D0-D7-83-3B-1E-7F," ",35020321030004,,,1562140007,-89,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800649662,20190703,0
44-6E-E5-95-63-18," ",35020321030004,,,1562140001,-81,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800650663,20190703,0
DA-A1-19-F2-38-69," ",35020321030004,,,1562140053,-93,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213921800651564,20190703,0
